제품코드,제품명,유형,규격,최소_질소,최대_질소,최소_수분,최대_수분,최소_색도,최대_색도,최소_추출,최대_추출,날짜유형
1,할리스 캡슐커피 시그니처 블렌드,캡슐커피,10EA,0,5,0,3,44,48,15,30,해당없음
HL-002,할리스 시그니처 블렌드,원두커피,EA,,,0.0,3.0,48.0,44.0,,,제조일자
HL-003,할리스 이클립스 블렌드,캡슐커피,53g/10ea/box,97.5,99.5,0.0,5.0,50.0,60.0,22.0,28.0,해당없음
HL-003,할리스 이클립스 블렌드,캡슐커피,53g/10ea/12RRP/box,97.5,99.5,0.0,5.0,50.0,60.0,22.0,28.0,해당없음
HL-TEST,TEST PRODUCT,캡슐커피,"100g, 200g, 500g",97.5,99.5,0.0,5.0,50.0,60.0,22.0,28.0,해당없음
HL-003,할리스 이클립스 블렌드,캡슐커피,53g/10ea/12RRP/box,97.5,99.5,0.0,5.0,50.0,60.0,22.0,28.0,해당없음
,,,,,,,,,,,,
