출고일,출고시간,차량번호,기사명,출하처,유형,제품명,규격,제조일자,소비기한,수량,비고
2026-03-12,18:48,,,CJ 동탄 물류센터,원두커피,할리스 시그니처 블렌드,1kg/9ea/1box,2026-03-12,-,200,
2026-03-14,,,,할리스 캡슐커피 시그니처 블렌드,원두커피,할리스 시그니처 블렌드,1kg/9ea/1box,2026-03-12,-,40,
2026-03-14,,,,유진로지스틱스,캡슐커피,할리스 캡슐커피 시그니처 블렌드,50g/10ea/12RRP/1BOX,2026-03-14,2027-09-13,1500,
2026-03-15,,,,유진로지스틱스,원두커피,할리스 시그니처 블렌드,1kg/9ea/1box,2026-03-15,-,500,
2026-03-15,,,,유진로지스틱스,원두커피,할리스 시그니처 블렌드,1kg/9ea/1box,2026-03-15,-,50,
2026-03-16,,,,유진로지스틱스,원두커피,할리스 시그니처 블렌드,1kg/9ea/1box,2026-03-15,-,150,
